growth_stage,temperature,humidity,rainfall,forecast_rainfall,wind_speed,solar_radiation,pressure,cloud_cover,dew_point,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,organic_matter,ec,leaf_wetness,evapotranspiration,ndvi,crop_age_days,water_usage,pest_risk,disease_risk,crop_health_index,previous_yield,groundwater_level,reservoir_level,fertilizer_usage,labor_hours,water_quantity_required_liters,future_soil_moisture_3day,crop_water_stress_level,irrigation_required,yield_prediction,crop_type_Maize,crop_type_Rice,crop_type_Sugarcane,crop_type_Wheat,region_North,region_South,region_West,soil_type_Loamy,soil_type_Sandy,soil_type_Silty,irrigation_type_Flood,irrigation_type_Sprinkler
1,42.02,87.58,111.2,55.86,20.81,580.54,1046.81,0.53,7.26,21.71,19.06,4.7,124,24,27,2.17,2.94,80.32,3.36,0.918,129,946.26,91,39,55.72,5.33,42.6,62.49,48.57,19.58,67.7,19.88,0,0,6.63,0,0,0,1,0,0,0,1,0,0,0,0
0,44.08,23.95,48.2,43.1,20.47,198.2,960.37,5.71,9.71,32.56,12.76,8.19,99,55,123,2.46,1.63,56.28,11.52,0.698,90,129.43,44,34,76.82,9.57,25.42,83.78,77.27,4.83,69.29,29.4,2,0,5.64,1,0,0,0,0,0,1,0,0,0,0,0
3,21.5,29.22,217.39,66.72,19.82,255.6,1047.02,7.34,9.96,13.98,29.89,8.44,61,58,76,3.26,1.08,38.84,7.24,0.832,12,301.82,68,14,76.98,2.19,27.96,78.67,25.12,9.05,67.65,16.09,0,0,6.67,0,0,0,0,0,1,0,0,0,1,1,0
1,37.47,81.95,124.49,18.61,29.55,317.97,1027.51,81.58,16.59,73.16,10.32,6.89,13,43,72,7.18,0.19,85.27,1.52,0.461,175,890.7,96,67,40.89,2.86,37.95,27.63,172.31,15.27,26.79,69.03,1,0,5.07,0,0,0,1,1,0,0,1,0,0,1,0
3,42.79,90.95,211.34,15.38,6.84,914.77,964.42,72.62,5.08,33.92,18.77,5.87,48,113,26,7.92,3.0,0.05,1.21,0.885,22,740.94,99,88,43.01,7.25,14.89,20.28,40.38,12.36,37.03,28.73,0,1,7.13,0,1,0,0,1,0,0,0,0,0,0,1
3,17.74,43.08,88.1,30.79,0.9,429.15,1031.47,30.95,17.32,7.91,33.01,7.15,29,107,60,4.44,2.75,59.38,10.08,0.162,108,746.01,98,47,95.08,9.84,22.41,23.64,44.21,3.85,87.71,7.71,0,0,3.23,0,0,0,1,0,1,0,0,1,0,0,1
2,27.42,20.65,39.58,10.17,20.34,924.24,1024.4,30.39,11.11,48.31,24.08,4.71,127,43,15,0.96,2.13,78.9,5.95,0.943,105,662.66,36,21,85.95,8.52,27.29,96.02,167.26,13.51,31.86,45.01,1,0,6.7,0,0,0,0,0,0,0,1,0,0,0,0
3,42.58,44.2,39.6,23.63,5.17,775.67,1007.39,34.44,18.75,24.34,22.39,7.51,67,100,39,0.62,1.06,61.12,5.81,0.156,127,230.69,90,40,74.09,5.02,40.54,53.97,222.53,16.06,71.89,19.84,0,1,2.5,0,1,0,0,0,0,0,0,0,0,0,1
3,21.08,48.71,60.98,8.69,20.38,774.47,1027.44,56.55,16.97,33.83,33.58,5.33,68,86,63,7.1,2.04,63.82,11.78,0.881,56,694.99,7,64,85.24,1.37,42.04,90.36,270.73,12.22,48.48,31.36,1,1,7.18,0,0,1,0,1,0,0,1,0,0,0,1
1,43.01,77.08,34.56,40.2,9.59,823.14,964.12,86.01,13.79,40.21,22.07,4.88,60,63,42,2.33,1.61,85.54,2.06,0.585,106,335.35,16,85,45.17,4.88,24.0,97.41,154.02,16.04,36.8,36.97,2,0,4.54,0,0,0,0,1,0,0,0,0,0,1,0
0,30.82,23.57,66.16,71.15,1.3,186.37,1022.16,47.7,3.58,10.72,24.21,8.1,94,117,143,7.44,1.05,4.8,5.24,0.659,8,471.83,80,48,78.47,6.46,37.58,27.66,96.62,5.48,84.53,11.79,0,0,6.3,0,1,0,0,0,0,0,0,0,0,1,0
1,18.0,35.95,173.71,28.65,23.09,833.16,1014.09,14.85,4.72,41.69,24.8,6.73,67,45,37,0.82,2.51,8.01,9.83,0.446,85,629.63,74,28,65.2,9.14,25.71,87.89,222.0,15.28,25.37,41.28,1,0,4.11,1,0,0,0,0,0,1,1,0,0,0,1
1,28.5,87.05,76.9,0.37,1.55,327.33,978.47,15.85,10.39,26.64,25.18,6.46,91,12,27,0.93,2.24,85.51,11.04,0.504,17,357.05,58,66,68.39,9.27,43.53,64.91,155.98,17.69,65.08,22.39,2,1,4.05,0,0,0,1,0,1,0,0,1,0,0,1
0,24.79,31.61,102.88,55.71,6.72,985.54,1019.04,5.7,22.21,58.42,13.05,6.97,69,67,122,5.36,2.94,17.49,3.94,0.704,115,72.01,93,64,89.04,9.29,13.74,83.05,213.67,17.96,22.57,59.16,1,0,5.95,0,1,0,0,1,0,0,0,0,1,0,1
0,23.47,76.94,15.82,69.19,10.09,863.38,1017.89,74.04,10.05,24.2,25.84,8.48,97,71,42,5.89,1.9,44.77,10.37,0.512,4,712.06,60,33,91.92,2.7,11.1,53.22,97.1,5.68,67.17,26.21,2,0,5.41,0,0,0,1,1,0,0,0,0,0,0,0
2,31.24,47.1,267.66,39.13,3.98,996.98,973.9,39.92,8.39,75.81,21.61,5.27,15,14,59,2.35,0.73,3.68,2.57,0.399,48,78.54,53,97,82.92,3.84,15.01,65.52,238.55,9.13,16.75,74.25,1,0,3.5,1,0,0,0,0,0,0,0,0,1,1,0
0,29.51,69.7,41.45,29.7,27.41,943.4,964.77,91.8,23.82,60.68,36.99,5.34,127,22,40,6.01,0.58,17.17,0.33,0.52,67,230.24,24,70,51.47,9.48,46.22,72.87,48.14,18.42,22.2,58.63,1,0,5.1,0,1,0,0,0,1,0,0,1,0,0,1
1,29.46,25.54,104.6,49.06,18.66,423.76,986.23,31.01,26.17,13.97,10.38,7.33,109,112,11,1.99,1.96,17.18,1.16,0.453,136,835.12,7,77,61.13,4.49,41.66,78.36,179.69,13.5,67.51,13.48,2,0,3.89,0,0,1,0,0,0,0,0,0,1,0,1
0,17.64,41.49,113.84,10.12,26.26,947.52,989.92,79.83,21.73,15.49,25.49,7.8,83,118,105,2.11,0.4,81.52,4.0,0.321,42,278.2,38,2,98.43,1.08,36.19,73.92,130.96,7.93,60.54,13.65,2,1,4.01,0,0,0,0,0,1,0,0,0,1,0,0
0,39.07,51.86,231.64,64.39,20.46,397.21,1032.42,49.52,13.44,31.95,39.24,8.25,100,69,6,3.0,1.02,46.06,3.38,0.889,54,878.67,15,35,69.01,5.44,19.19,31.78,261.36,1.22,40.92,31.24,2,0,6.7,0,1,0,0,0,1,0,1,0,0,1,0
0,29.44,84.29,145.06,73.33,29.76,693.35,993.61,84.87,6.37,7.05,10.46,7.7,88,85,138,0.51,2.64,80.02,5.77,0.327,67,828.79,3,52,78.38,7.24,2.94,56.29,193.96,16.81,87.15,8.5,0,0,3.22,1,0,0,0,0,1,0,1,0,0,0,0
3,39.63,62.26,114.89,70.46,15.75,836.79,1023.66,56.13,29.85,8.67,30.73,6.6,44,103,140,3.23,2.93,26.95,9.05,0.559,173,815.42,20,2,84.1,7.3,44.42,20.58,255.59,5.83,100.45,8.36,0,0,5.42,0,1,0,0,1,0,0,0,1,0,0,0
2,39.74,23.39,208.76,32.87,1.61,443.77,996.27,19.24,10.14,58.9,10.9,7.36,41,18,21,5.19,1.46,72.18,6.04,0.362,86,655.33,68,57,58.67,2.23,26.88,66.38,35.01,15.94,33.43,55.57,1,0,4.28,0,0,0,1,0,0,1,1,0,0,0,1
3,24.51,80.14,179.1,84.27,4.83,283.48,956.71,80.11,12.98,29.55,35.87,6.63,12,93,71,7.96,0.15,48.66,8.01,0.186,25,628.19,11,97,58.82,3.88,16.51,84.47,128.43,15.45,45.48,32.62,2,0,3.55,0,1,0,0,0,0,0,0,0,0,0,0
3,15.13,24.09,23.44,94.68,17.65,905.4,1015.27,0.56,15.66,20.27,15.89,7.12,25,50,9,3.82,2.5,46.36,3.02,0.681,108,425.17,76,88,62.65,9.64,12.77,61.48,275.76,9.5,52.49,25.57,2,0,5.29,0,0,1,0,0,0,1,0,1,0,0,0
2,42.34,90.08,93.81,29.71,10.43,192.95,1039.54,50.43,16.94,32.61,34.75,4.81,45,6,64,1.55,1.25,74.16,4.35,0.765,149,254.08,90,25,47.62,8.47,2.45,70.98,21.61,9.09,51.18,28.64,0,0,5.88,0,1,0,0,0,0,0,1,0,0,0,1
3,37.82,35.88,293.58,26.27,3.39,428.48,1001.83,19.58,0.61,78.7,37.5,7.08,130,104,145,7.31,0.25,35.11,6.73,0.636,14,177.2,74,94,87.57,6.76,4.77,22.09,282.17,9.06,29.04,75.13,1,0,5.7,0,0,0,0,0,1,0,1,0,0,1,0
0,18.22,56.59,145.0,70.41,7.14,586.52,1020.21,33.8,26.92,72.68,14.08,5.77,133,110,71,5.5,0.67,26.63,9.94,0.759,113,533.72,77,43,80.98,9.01,9.75,19.91,217.85,2.2,27.21,75.58,1,0,6.46,0,1,0,0,1,0,0,0,1,0,0,1
2,36.05,25.42,127.26,70.83,14.24,824.27,1027.88,40.91,26.41,24.1,12.95,6.65,100,90,125,4.92,0.72,52.03,9.49,0.407,3,745.42,27,48,81.57,6.33,12.94,24.34,252.21,11.6,70.08,24.36,2,0,4.54,0,0,0,1,0,0,1,0,0,0,1,0
3,15.6,62.13,44.98,51.04,15.55,881.96,996.74,56.0,3.74,10.73,35.1,5.04,127,113,64,1.15,0.82,66.55,3.18,0.164,153,127.35,2,94,71.92,5.26,29.2,18.95,272.53,8.41,69.28,12.47,2,0,2.11,0,1,0,0,1,0,0,0,1,0,0,0
1,15.83,57.29,251.72,92.33,28.04,560.47,974.98,35.46,25.47,29.62,15.25,6.7,137,33,29,1.27,2.93,4.6,4.24,0.848,59,605.33,45,30,69.05,7.26,20.75,24.02,236.91,13.72,27.24,34.63,2,0,6.19,0,0,1,0,0,0,0,1,0,0,0,0
3,30.77,50.77,39.99,14.63,2.72,616.06,1036.01,64.48,4.71,5.67,11.6,7.16,14,115,41,7.61,2.15,24.81,9.54,0.895,69,460.21,91,19,84.2,3.64,6.75,53.76,196.47,17.11,103.49,2.22,0,1,7.81,1,0,0,0,1,0,0,1,0,0,0,1
1,17.88,22.67,31.53,47.74,10.73,868.44,1032.87,18.75,7.28,21.63,16.62,5.3,84,81,146,5.59,2.44,54.61,6.03,0.477,3,351.76,83,31,70.38,5.57,17.25,34.66,283.38,7.14,57.85,22.77,2,0,5.19,0,1,0,0,1,0,0,0,1,0,0,1
0,43.93,85.92,131.7,3.52,15.18,520.31,1035.95,78.99,15.57,51.84,16.16,4.89,28,107,13,6.81,1.05,55.4,7.39,0.139,17,679.42,33,32,66.16,1.36,8.84,75.9,153.55,9.29,43.34,45.53,1,0,3.74,0,1,0,0,0,0,1,0,0,0,0,1
1,41.81,80.2,130.99,5.27,3.4,603.19,1032.58,60.19,29.3,11.73,30.24,6.01,121,40,32,1.09,2.2,43.28,7.98,0.492,103,654.95,7,98,41.99,6.64,6.9,89.34,233.04,3.48,93.74,5.88,0,1,3.7,0,0,0,0,0,1,0,0,0,0,0,0
3,34.49,67.48,294.44,5.37,20.63,116.59,963.31,35.18,14.45,17.91,24.16,6.32,71,111,132,7.62,2.33,73.35,5.88,0.348,135,777.22,34,41,80.13,2.83,14.8,89.63,74.95,17.37,64.39,13.17,0,1,4.85,0,0,1,0,1,0,0,0,0,1,0,0
3,16.91,62.92,38.26,49.18,15.45,956.01,991.47,53.19,11.55,37.36,32.97,7.06,43,71,35,5.03,0.43,64.77,8.27,0.888,5,356.58,79,20,59.0,8.51,15.95,54.79,13.54,7.06,32.91,38.76,2,0,7.25,1,0,0,0,0,1,0,0,0,0,1,0
3,24.75,72.12,145.15,58.9,13.79,610.1,969.15,40.4,15.55,58.63,17.08,5.21,87,101,134,5.8,0.83,76.39,10.05,0.538,179,202.44,51,82,58.94,9.11,28.66,37.15,274.84,6.46,32.64,59.63,1,0,5.03,0,0,0,1,0,0,0,0,1,0,0,1
2,26.15,30.8,60.37,0.35,19.68,754.82,965.52,87.49,6.99,44.56,24.73,6.38,87,81,21,3.71,0.36,37.46,5.6,0.855,12,940.18,66,56,91.12,2.22,23.07,74.6,114.5,8.15,29.1,40.67,1,0,6.46,0,1,0,0,1,0,0,0,0,0,0,0
2,29.43,89.95,210.53,63.25,8.63,323.12,1028.15,54.63,27.96,59.99,13.17,8.17,77,90,18,1.02,0.48,71.74,8.22,0.529,77,992.89,42,15,96.67,5.19,13.96,45.96,43.31,18.46,29.46,60.64,1,0,4.7,1,0,0,0,0,0,1,0,0,0,1,0
3,20.07,41.35,117.51,48.97,10.18,690.93,998.13,78.86,28.06,11.94,24.16,6.16,123,33,74,5.8,2.88,89.67,11.96,0.655,42,392.59,42,62,55.18,7.8,22.63,41.37,253.93,13.69,84.61,12.85,0,0,5.82,0,0,0,1,0,0,0,0,0,1,0,1
3,32.33,69.24,194.54,22.38,4.88,514.02,959.07,79.49,20.29,17.1,24.98,5.19,91,11,55,4.74,0.69,53.41,5.93,0.751,25,246.17,72,31,72.85,4.3,21.73,26.96,11.27,4.64,69.22,14.04,0,1,6.39,0,0,1,0,0,0,0,0,0,0,0,1
0,28.07,65.51,101.52,1.51,15.71,201.22,990.61,73.39,4.64,71.78,37.35,7.87,92,114,121,2.02,0.69,41.41,4.16,0.796,24,304.77,54,22,89.92,6.39,32.48,11.6,59.65,10.29,25.7,67.69,1,0,6.16,0,0,1,0,0,0,1,0,0,1,1,0
2,43.42,67.75,169.36,15.61,11.17,847.15,1049.33,75.08,14.57,76.98,38.46,6.19,37,101,92,3.59,2.44,58.97,6.71,0.226,137,865.25,84,24,65.74,3.58,13.21,35.09,207.92,14.09,39.69,71.72,2,0,3.61,1,0,0,0,1,0,0,0,0,1,1,0
2,43.09,85.92,140.74,60.03,7.81,855.4,971.24,22.45,11.46,66.55,36.26,7.02,28,38,28,6.46,2.34,93.18,3.36,0.739,36,981.6,10,100,71.65,6.31,2.17,10.78,98.76,15.68,34.16,64.89,1,0,5.99,0,0,0,1,1,0,0,0,0,0,1,0
2,31.96,42.19,112.31,65.88,3.74,157.34,989.72,87.1,29.88,59.01,37.67,8.03,103,10,131,6.05,2.53,95.77,4.73,0.502,13,630.17,18,80,73.7,8.66,29.32,38.01,35.02,17.87,29.41,59.49,1,0,4.92,0,0,1,0,0,0,0,1,0,0,0,0
1,34.33,76.17,161.26,64.71,0.7,451.54,1009.45,70.78,1.56,8.87,11.4,6.99,44,97,52,7.18,0.15,48.83,9.01,0.114,103,549.43,53,43,53.65,5.02,27.05,71.31,14.18,16.09,93.46,8.9,0,0,3.58,1,0,0,0,1,0,0,0,1,0,0,1
3,19.13,64.88,115.14,15.32,5.8,353.3,969.96,5.4,7.75,79.89,34.8,7.87,80,85,113,2.17,2.45,64.4,3.23,0.907,157,906.26,76,0,63.63,8.99,27.54,18.85,210.57,10.17,16.01,78.25,1,0,6.97,0,0,1,0,0,1,0,0,1,0,0,1
0,21.7,25.7,241.81,91.12,7.42,564.73,1046.78,64.76,14.75,20.81,12.0,7.1,16,43,114,4.93,1.6,36.69,6.3,0.306,46,593.78,21,75,42.26,6.46,29.83,17.08,256.98,11.75,52.41,24.84,2,0,3.77,0,0,1,0,0,0,1,0,0,0,1,0
0,42.02,51.06,148.57,41.1,14.56,539.92,1013.49,48.2,24.75,35.87,27.16,7.76,117,84,123,7.98,1.55,36.09,11.36,0.885,162,734.06,80,98,83.82,7.81,1.77,46.69,205.75,12.95,56.34,32.86,2,0,7.04,0,0,1,0,0,1,0,0,1,0,0,0
3,35.97,82.85,270.94,76.8,7.23,690.78,972.94,14.24,21.87,52.15,12.56,6.33,62,34,110,3.88,2.24,49.6,7.44,0.405,94,129.22,72,25,95.16,7.1,49.17,63.53,98.76,6.15,30.11,52.9,1,0,4.55,0,0,0,0,1,0,0,0,1,0,1,0
3,20.68,43.65,66.84,16.65,24.53,322.74,994.66,47.31,28.69,45.69,33.73,8.42,54,64,40,1.34,1.56,48.67,9.97,0.75,35,366.71,2,1,49.69,2.49,10.77,48.87,36.59,5.18,33.14,43.92,1,0,6.01,0,0,0,1,0,0,0,0,0,1,0,0
0,32.11,56.17,33.64,47.06,14.22,299.53,986.09,92.23,6.32,79.32,10.07,6.67,43,82,91,3.61,1.58,82.14,3.69,0.114,67,527.98,75,40,96.69,3.43,1.61,78.42,254.27,8.27,31.39,78.27,1,0,2.89,1,0,0,0,0,0,1,1,0,0,0,1
1,43.04,56.65,114.29,52.15,18.71,750.99,962.23,87.6,3.09,49.46,21.52,7.23,65,89,107,7.14,2.55,7.53,10.46,0.368,133,136.69,30,93,52.25,9.55,39.31,16.12,237.64,15.81,49.64,47.18,1,0,4.34,1,0,0,0,1,0,0,0,1,0,0,1
0,25.36,66.35,55.1,77.04,6.24,978.58,978.46,8.64,17.7,21.63,25.89,5.27,30,77,101,3.6,0.6,80.03,6.81,0.222,131,71.51,75,83,80.66,6.37,22.8,46.74,215.13,10.49,64.22,23.99,2,0,3.0,0,0,0,1,1,0,0,1,0,0,0,0
1,20.57,86.3,117.94,62.15,12.48,951.71,1005.37,44.05,12.98,47.26,18.13,6.15,32,71,104,3.4,1.26,40.59,5.34,0.107,156,522.03,86,68,77.06,9.62,8.43,67.77,155.7,10.99,21.24,49.15,1,0,2.54,0,0,0,1,0,0,0,0,1,0,0,1
1,43.26,33.02,62.22,39.93,18.08,812.79,958.81,50.95,9.95,29.4,25.16,6.36,107,10,62,0.63,2.4,65.12,2.92,0.582,128,740.45,0,49,51.21,9.91,41.95,43.14,263.38,17.47,56.42,26.11,2,0,4.55,0,0,0,1,0,0,0,1,0,0,0,1
2,28.84,57.85,260.46,28.25,9.33,160.72,954.83,69.11,23.26,54.91,36.29,7.81,96,7,100,4.51,2.25,78.2,4.18,0.629,163,993.74,37,35,40.77,4.17,34.72,55.4,23.03,1.93,18.41,52.84,1,0,5.7,0,0,0,1,0,1,0,1,0,0,1,0
3,27.52,51.82,170.37,97.3,10.09,314.0,1004.13,76.66,16.47,7.95,28.3,7.6,45,110,114,7.97,2.52,73.47,0.74,0.91,78,622.8,100,27,70.86,4.09,40.19,68.77,192.37,1.73,72.67,11.61,0,0,7.87,0,1,0,0,0,0,1,0,1,0,0,0
2,23.03,42.19,149.28,28.45,24.22,720.66,993.41,82.85,9.65,25.73,26.59,6.67,19,109,56,2.25,2.9,69.12,4.55,0.732,23,51.72,80,86,51.46,2.18,2.97,68.91,188.53,11.81,45.75,24.55,2,0,5.25,1,0,0,0,0,0,1,0,0,1,0,1
1,41.75,88.97,236.32,12.95,25.12,366.2,968.83,59.64,16.13,46.13,39.43,7.72,110,35,112,6.18,0.44,86.76,1.4,0.218,19,385.0,89,86,91.42,3.26,7.93,94.27,124.99,9.98,24.38,40.9,2,0,3.47,0,1,0,0,0,0,0,1,0,0,0,1
0,40.37,20.61,39.11,30.04,15.99,454.26,1021.27,88.22,27.98,63.26,21.7,7.74,11,64,65,1.65,0.19,3.74,8.21,0.789,61,291.05,97,70,90.5,3.56,27.42,89.69,133.61,18.45,46.76,59.61,2,0,5.58,0,0,1,0,0,1,0,1,0,0,0,0
2,27.09,29.16,257.1,32.69,26.89,958.32,958.79,55.65,7.86,67.51,36.46,7.14,76,33,27,3.21,0.26,66.65,1.93,0.113,83,642.77,79,58,46.28,2.39,49.32,92.05,71.91,16.72,12.68,66.06,1,0,2.63,0,0,1,0,0,0,1,0,1,0,0,1
0,15.92,75.0,144.99,12.79,22.1,177.68,977.04,2.31,13.56,73.58,29.4,8.27,84,90,34,4.87,0.39,71.9,4.6,0.604,135,127.88,63,46,45.74,8.07,26.31,81.08,115.12,15.55,14.69,72.22,1,0,5.53,1,0,0,0,0,0,0,1,0,0,0,0
1,28.4,39.76,40.93,70.81,1.66,875.12,960.13,45.86,8.63,33.37,33.26,7.93,53,69,60,2.14,0.68,57.58,1.73,0.387,65,543.43,17,27,45.92,8.92,12.8,60.37,155.76,13.9,36.07,34.77,1,0,4.09,0,0,1,0,1,0,0,1,0,0,0,0
0,20.43,74.24,245.82,61.92,16.78,145.27,1022.76,16.12,17.26,49.05,19.36,5.37,33,19,129,3.2,0.63,12.11,5.06,0.72,16,648.39,56,83,98.25,1.66,3.89,48.31,109.68,15.51,14.17,50.94,1,0,5.41,0,0,0,1,0,0,1,0,0,1,1,0
2,19.28,82.42,138.23,31.66,20.93,404.15,1013.27,57.41,27.06,48.94,28.32,5.88,53,46,94,7.15,2.23,40.05,1.25,0.385,38,936.02,78,46,42.33,3.34,13.79,92.89,45.82,1.14,11.01,48.58,1,0,4.9,0,1,0,0,0,1,0,1,0,0,0,0
1,26.79,39.1,181.38,99.3,16.23,599.86,968.85,68.08,19.58,72.46,35.45,5.01,46,95,59,1.1,0.73,55.28,3.14,0.935,5,405.92,61,22,77.04,1.86,14.87,54.72,41.73,13.38,18.64,76.39,1,0,6.68,0,0,0,1,0,1,0,0,0,1,1,0
3,17.97,34.4,268.08,65.5,24.96,420.75,1005.74,68.1,5.83,68.47,28.77,6.2,23,81,64,7.14,1.1,21.79,1.24,0.256,162,274.51,78,16,61.89,7.12,33.55,19.83,74.49,10.71,3.45,71.01,1,0,4.55,0,0,1,0,0,1,0,1,0,0,0,1
2,43.72,30.9,267.21,70.32,9.03,961.44,1019.65,49.04,3.88,36.84,30.28,5.86,126,79,90,2.62,2.15,88.5,5.93,0.722,155,991.45,20,55,89.49,9.01,21.74,21.0,273.84,1.56,39.16,35.91,2,0,5.58,0,1,0,0,1,0,0,1,0,0,0,0
2,16.43,35.01,267.85,55.72,1.96,553.94,953.42,71.69,1.05,49.63,25.33,7.64,133,78,31,1.22,1.37,57.18,4.03,0.621,61,402.37,81,42,95.2,2.06,35.74,80.68,149.93,9.38,7.81,51.62,1,0,4.93,0,0,0,1,0,0,1,0,0,1,1,0
3,27.04,40.04,125.08,55.16,19.01,760.46,1016.32,11.43,25.22,73.68,13.81,7.72,139,32,102,4.11,0.4,12.57,2.9,0.771,16,160.4,45,10,64.47,3.63,21.37,71.44,146.41,9.7,21.18,74.04,1,0,6.58,1,0,0,0,0,0,1,0,0,1,0,0
1,19.88,85.16,224.88,2.0,21.92,731.86,981.15,94.78,14.15,79.99,32.48,6.33,88,63,79,2.56,2.14,8.45,5.28,0.78,95,700.18,52,37,91.92,6.15,19.4,79.36,272.2,4.72,15.22,77.17,1,0,6.04,0,0,0,1,1,0,0,0,0,0,0,1
3,35.66,77.75,69.98,77.09,22.96,851.58,963.52,84.32,12.68,60.39,30.85,6.54,79,29,27,7.76,2.53,46.57,3.74,0.892,32,660.56,3,51,59.24,5.06,17.53,65.15,234.19,16.64,32.51,61.21,1,0,7.5,0,0,1,0,0,0,1,1,0,0,1,0
2,17.36,20.14,249.35,91.07,0.33,877.52,1032.12,85.5,7.92,10.14,24.88,8.0,78,11,136,2.41,2.91,7.07,5.61,0.801,68,940.56,98,73,41.32,9.5,26.51,49.49,112.2,14.78,66.39,14.82,0,0,5.76,0,1,0,0,1,0,0,0,0,1,1,0
1,31.4,85.56,102.52,12.23,20.2,519.69,1010.61,3.3,12.9,71.89,22.1,6.62,63,68,77,7.02,2.74,64.66,4.58,0.777,159,935.3,6,50,73.33,7.24,43.77,53.21,65.02,7.4,29.15,68.16,1,0,6.79,1,0,0,0,1,0,0,1,0,0,1,0
0,38.19,25.91,139.17,79.56,0.62,876.7,1004.65,22.93,10.57,40.84,30.01,8.23,38,29,94,7.78,1.32,81.17,9.25,0.626,18,334.2,100,27,51.2,5.97,31.72,41.34,205.55,10.59,42.09,41.48,2,0,6.42,0,1,0,0,1,0,0,1,0,0,0,1
2,43.5,69.14,267.42,53.43,23.24,688.1,1033.65,9.93,22.31,31.3,31.0,7.84,60,102,101,3.23,1.66,63.29,10.2,0.137,59,570.64,73,30,44.61,9.17,32.84,40.19,279.65,18.09,57.49,29.05,0,0,3.03,1,0,0,0,0,1,0,1,0,0,1,0
0,35.96,31.36,241.72,28.53,21.09,717.45,976.51,86.54,21.21,26.76,21.48,6.31,43,19,54,3.27,2.49,4.67,0.9,0.227,52,258.86,77,15,75.91,8.85,31.33,57.4,177.45,11.85,42.31,23.65,2,0,3.64,0,1,0,0,0,0,1,0,1,0,0,1
3,17.98,24.67,285.75,92.09,17.02,255.91,951.41,74.99,13.38,65.28,19.2,8.24,90,103,54,7.13,1.14,7.16,6.43,0.324,152,455.74,32,89,66.29,3.09,46.87,99.75,202.0,6.61,12.96,69.95,1,0,4.16,0,0,1,0,1,0,0,0,0,0,0,1
1,17.66,76.98,109.04,1.74,15.19,320.59,1044.87,9.62,19.61,72.37,39.1,7.64,81,82,34,4.06,1.47,12.18,0.75,0.252,89,82.15,1,4,90.56,3.88,29.45,30.44,180.19,4.53,10.18,69.86,1,0,4.03,1,0,0,0,0,0,1,0,1,0,0,0
3,36.95,55.04,45.33,27.41,21.45,718.9,976.28,40.21,17.68,56.43,39.28,8.33,25,24,70,5.8,2.25,89.64,11.38,0.922,37,579.81,78,60,43.01,6.94,13.91,49.18,278.0,2.47,50.05,53.08,1,0,7.17,0,0,0,0,0,1,0,0,0,0,0,1
0,21.46,64.93,273.12,88.62,1.72,339.07,1013.33,51.19,19.23,9.47,21.22,5.34,17,115,95,3.98,0.58,81.16,3.49,0.385,53,679.83,83,11,55.62,1.6,37.6,23.31,256.15,1.23,65.45,13.34,0,0,4.61,0,1,0,0,1,0,0,1,0,0,1,0
2,28.42,51.9,147.95,48.1,24.97,541.04,1047.7,71.51,22.78,79.01,38.82,7.26,41,65,83,3.44,0.97,53.15,7.29,0.556,57,950.67,55,81,50.98,8.42,7.42,20.68,86.15,1.26,29.92,78.6,1,0,4.66,0,1,0,0,0,0,0,1,0,0,1,0
1,44.3,25.04,266.82,59.89,6.04,540.97,973.36,29.34,2.76,46.83,27.54,8.18,28,115,75,7.47,2.87,21.88,2.22,0.782,146,650.18,70,70,49.72,1.47,37.27,43.93,222.59,18.44,26.54,44.98,2,0,6.7,0,0,0,1,0,1,0,0,0,1,0,1
3,39.6,75.47,219.62,74.98,14.33,310.63,1049.27,29.04,24.96,67.06,10.42,4.51,93,33,70,3.81,0.28,98.99,2.91,0.113,63,744.83,69,34,98.66,3.88,15.01,17.81,44.55,1.16,26.52,67.12,1,0,2.99,1,0,0,0,0,0,0,0,0,0,0,1
0,40.4,81.53,262.44,14.8,14.6,609.84,1003.87,53.16,8.48,59.09,13.32,4.89,33,56,100,4.71,2.31,46.96,0.46,0.671,167,326.07,1,79,99.24,4.83,32.2,91.18,248.26,16.54,20.12,54.21,1,0,5.51,0,0,0,0,0,0,1,0,0,0,0,0
0,40.82,23.11,196.42,21.52,23.31,607.38,1045.9,52.56,11.45,30.15,16.61,4.99,87,36,92,6.23,2.01,90.83,6.51,0.24,157,745.37,96,37,61.53,2.19,32.2,14.28,50.45,5.22,53.59,25.75,0,1,4.08,0,0,1,0,0,0,1,0,1,0,0,0
2,33.59,48.18,243.71,99.86,5.79,216.11,958.6,11.22,8.3,73.84,34.42,6.12,138,111,118,5.55,1.14,22.24,0.98,0.322,60,330.03,21,60,55.04,5.73,37.69,98.27,262.09,16.82,16.65,76.79,1,0,4.12,0,0,0,1,0,1,0,0,0,0,1,0
0,37.32,61.8,36.1,23.75,8.99,443.0,1003.1,71.27,24.8,27.86,32.0,8.0,13,65,85,7.72,1.61,65.81,4.1,0.909,145,254.53,81,71,85.34,7.37,17.57,84.12,291.75,9.06,58.1,24.16,2,1,7.38,0,0,0,0,0,0,1,1,0,0,0,1
